step,epoch,train_loss,val_loss,ppl,lr_muon,lr_adam,elapsed_s,best_val_loss,patience_counter
0,1,1.2856,n/a,485165195.41,1.00e-05,1.00e-06,114.8,n/a,0
10,1,1.2346,n/a,379187585.36,1.10e-04,1.10e-05,139.0,n/a,0
20,1,1.3497,n/a,485165195.41,2.10e-04,2.10e-05,163.1,n/a,0
30,1,1.3345,n/a,485165195.41,3.10e-04,3.10e-05,188.4,n/a,0
40,1,1.3919,n/a,485165195.41,4.10e-04,4.10e-05,213.8,n/a,0
50,1,1.3560,n/a,485165195.41,5.10e-04,5.10e-05,238.3,n/a,0
60,1,1.3107,n/a,485165195.41,6.10e-04,6.10e-05,263.3,n/a,0
70,1,1.3577,n/a,485165195.41,7.10e-04,7.10e-05,288.4,n/a,0
80,1,1.3111,n/a,485165195.41,8.10e-04,8.10e-05,313.9,n/a,0
90,1,1.0874,n/a,35980234.22,9.10e-04,9.10e-05,338.6,n/a,0
100,1,1.0840,1.1880,34073274.07,1.00e-03,1.00e-04,448.1,1.1880,0
110,1,1.1080,n/a,50010060.07,1.00e-03,1.00e-04,472.2,1.1880,0
120,1,1.2274,n/a,338193167.25,1.00e-03,1.00e-04,496.8,1.1880,0
130,1,1.0343,n/a,15374811.92,1.00e-03,1.00e-04,521.5,1.1880,0
140,1,1.1004,n/a,44284691.63,1.00e-03,1.00e-04,546.9,1.1880,0
150,1,1.2551,n/a,485165195.41,1.00e-03,1.00e-04,572.6,1.1880,0
160,1,1.1512,n/a,99915136.91,1.00e-03,1.00e-04,597.9,1.1880,0
170,1,1.1041,n/a,46991196.73,1.00e-03,1.00e-04,622.8,1.1880,0
180,1,1.0650,n/a,25130507.41,1.00e-03,1.00e-04,647.4,1.1880,0
190,1,1.0557,n/a,21662038.65,1.00e-03,1.00e-04,672.6,1.1880,0
200,1,1.1888,1.0277,182158384.86,1.00e-03,1.00e-04,770.9,1.0277,0
210,1,1.0281,n/a,13925197.47,1.00e-03,1.00e-04,798.9,1.0277,0
220,1,0.9639,n/a,4984669.02,1.00e-03,1.00e-04,824.0,1.0277,0
230,1,1.0531,n/a,20778757.87,9.99e-04,9.99e-05,849.9,1.0277,0
240,1,0.9463,n/a,3761820.76,9.99e-04,9.99e-05,875.8,1.0277,0
250,1,0.9297,n/a,2886176.98,9.99e-04,9.99e-05,900.9,1.0277,0
260,1,0.9743,n/a,5891900.42,9.99e-04,9.99e-05,925.1,1.0277,0
270,1,1.0534,n/a,20871633.89,9.99e-04,9.99e-05,950.9,1.0277,0
280,1,1.0411,n/a,17148012.91,9.99e-04,9.99e-05,976.6,1.0277,0
290,1,1.0164,n/a,11556141.88,9.99e-04,9.99e-05,1002.0,1.0277,0
300,1,1.0598,0.9514,23151796.79,9.99e-04,9.99e-05,1101.0,0.9514,0
310,1,0.8728,n/a,1160283.29,9.99e-04,9.99e-05,1126.4,0.9514,0
320,1,0.9322,n/a,3003787.44,9.98e-04,9.98e-05,1151.9,0.9514,0
330,1,0.8895,n/a,1516432.28,9.98e-04,9.98e-05,1176.8,0.9514,0
340,1,0.9587,n/a,4588148.45,9.98e-04,9.98e-05,1202.5,0.9514,0
350,1,0.9311,n/a,2950130.86,9.98e-04,9.98e-05,1227.3,0.9514,0
360,1,0.8992,n/a,1770637.13,9.98e-04,9.98e-05,1252.8,0.9514,0
370,1,0.9448,n/a,3675170.35,9.98e-04,9.98e-05,1278.6,0.9514,0
380,1,0.8138,n/a,451628.26,9.97e-04,9.97e-05,1304.1,0.9514,0
390,1,1.0037,n/a,9432408.07,9.97e-04,9.97e-05,1328.2,0.9514,0
400,1,0.8391,0.9029,676907.27,9.97e-04,9.97e-05,1427.2,0.9029,0
410,1,0.8601,n/a,947935.17,9.97e-04,9.97e-05,1454.2,0.9029,0
420,1,0.9933,n/a,7985779.22,9.97e-04,9.97e-05,1479.4,0.9029,0
430,1,0.8411,n/a,699661.34,9.97e-04,9.97e-05,1505.1,0.9029,0
440,1,0.9243,n/a,2645736.61,9.96e-04,9.96e-05,1529.8,0.9029,0
450,1,0.8902,n/a,1533517.47,9.96e-04,9.96e-05,1554.9,0.9029,0
460,1,0.8977,n/a,1728347.42,9.96e-04,9.96e-05,1580.3,0.9029,0
470,1,0.8744,n/a,1190322.28,9.96e-04,9.96e-05,1605.1,0.9029,0
480,1,0.8930,n/a,1604152.99,9.95e-04,9.95e-05,1630.1,0.9029,0
490,1,0.8090,n/a,417993.22,9.95e-04,9.95e-05,1655.5,0.9029,0
500,1,0.8581,0.8696,917783.20,9.95e-04,9.95e-05,1753.9,0.8696,0
510,1,0.8126,n/a,442772.96,9.95e-04,9.95e-05,1779.0,0.8696,0
520,1,0.8962,n/a,1687352.46,9.94e-04,9.94e-05,1804.1,0.8696,0
530,1,0.8626,n/a,985526.25,9.94e-04,9.94e-05,1829.9,0.8696,0
540,1,0.8609,n/a,959160.41,9.94e-04,9.94e-05,1855.1,0.8696,0
550,1,0.7923,n/a,320373.26,9.94e-04,9.94e-05,1880.7,0.8696,0
560,1,0.8271,n/a,559008.21,9.93e-04,9.93e-05,1905.8,0.8696,0
570,1,0.7899,n/a,308313.82,9.93e-04,9.93e-05,1930.8,0.8696,0
580,1,0.8110,n/a,432218.67,9.93e-04,9.93e-05,1955.9,0.8696,0
590,1,0.8893,n/a,1512687.37,9.92e-04,9.92e-05,1981.3,0.8696,0
600,1,0.7923,0.8449,320398.10,9.92e-04,9.92e-05,2080.4,0.8449,0
610,1,0.8563,n/a,891923.17,9.92e-04,9.92e-05,2107.2,0.8449,0
620,1,0.8531,n/a,846888.12,9.91e-04,9.91e-05,2132.5,0.8449,0
630,1,0.8608,n/a,958489.55,9.91e-04,9.91e-05,2158.2,0.8449,0
640,1,0.7754,n/a,244452.39,9.91e-04,9.91e-05,2183.8,0.8449,0
650,1,0.7290,n/a,116286.28,9.90e-04,9.90e-05,2209.5,0.8449,0
660,1,0.7819,n/a,271248.18,9.90e-04,9.90e-05,2235.7,0.8449,0
670,1,0.9482,n/a,3877890.04,9.90e-04,9.90e-05,2261.8,0.8449,0
