step,train_loss,val_loss,ppl,lr_muon,lr_adam,tokens_seen,elapsed_s,best_val_loss,patience_counter
0,10.5717,n/a,39016.03,2.00e-04,3.00e-06,16384,12.9,n/a,0
10,9.5001,n/a,13360.98,2.20e-03,3.30e-05,180224,29.8,n/a,0
20,9.2186,n/a,10083.28,4.20e-03,6.30e-05,344064,46.8,n/a,0
30,8.3647,n/a,4292.79,6.20e-03,9.30e-05,507904,64.0,n/a,0
40,7.8494,n/a,2564.19,8.20e-03,1.23e-04,671744,81.3,n/a,0
50,7.4229,n/a,1673.81,1.02e-02,1.53e-04,835584,98.6,n/a,0
60,6.9882,n/a,1083.80,1.22e-02,1.83e-04,999424,115.9,n/a,0
70,6.7047,n/a,816.24,1.42e-02,2.13e-04,1163264,133.2,n/a,0
80,6.7008,n/a,813.08,1.62e-02,2.43e-04,1327104,150.6,n/a,0
90,6.6393,n/a,764.54,1.82e-02,2.73e-04,1490944,167.9,n/a,0
100,6.5990,5.9950,734.34,2.00e-02,3.00e-04,1654784,192.6,5.9950,0
110,6.3067,n/a,548.23,2.00e-02,3.00e-04,1818624,210.6,5.9950,0
120,6.2897,n/a,538.98,2.00e-02,3.00e-04,1982464,228.0,5.9950,0
130,6.2819,n/a,534.82,2.00e-02,3.00e-04,2146304,245.4,5.9950,0
140,6.3864,n/a,593.74,2.00e-02,3.00e-04,2310144,262.8,5.9950,0
150,6.1848,n/a,485.33,2.00e-02,3.00e-04,2473984,280.4,5.9950,0
160,6.2394,n/a,512.57,2.00e-02,3.00e-04,2637824,298.1,5.9950,0
170,6.3028,n/a,546.10,2.00e-02,3.00e-04,2801664,315.7,5.9950,0
180,6.0191,n/a,411.22,2.00e-02,3.00e-04,2965504,333.3,5.9950,0
190,6.1462,n/a,466.92,2.00e-02,3.00e-04,3129344,350.9,5.9950,0
200,5.6795,5.5204,292.82,2.00e-02,3.00e-04,3293184,373.4,5.5204,0
210,5.8990,n/a,364.66,2.00e-02,3.00e-04,3457024,391.5,5.5204,0
220,5.7517,n/a,314.72,2.00e-02,3.00e-04,3620864,409.1,5.5204,0
230,5.9960,n/a,401.80,2.00e-02,3.00e-04,3784704,426.6,5.5204,0
240,6.0513,n/a,424.65,2.00e-02,3.00e-04,3948544,444.1,5.5204,0
250,5.3744,n/a,215.81,2.00e-02,3.00e-04,4112384,461.7,5.5204,0
260,5.5827,n/a,265.79,2.00e-02,3.00e-04,4276224,479.2,5.5204,0
270,5.7335,n/a,309.04,2.00e-02,3.00e-04,4440064,496.7,5.5204,0
280,5.5821,n/a,265.63,2.00e-02,3.00e-04,4603904,514.3,5.5204,0
290,5.4953,n/a,243.54,2.00e-02,3.00e-04,4767744,531.8,5.5204,0
300,5.4753,5.1499,238.73,2.00e-02,3.00e-04,4931584,554.3,5.1499,0
310,5.4933,n/a,243.07,2.00e-02,3.00e-04,5095424,572.3,5.1499,0
320,5.3722,n/a,215.33,2.00e-02,3.00e-04,5259264,589.9,5.1499,0
330,5.3298,n/a,206.40,2.00e-02,3.00e-04,5423104,607.4,5.1499,0
340,5.5114,n/a,247.50,2.00e-02,3.00e-04,5586944,624.9,5.1499,0
350,5.4207,n/a,226.05,2.00e-02,3.00e-04,5750784,642.4,5.1499,0
360,5.5988,n/a,270.09,2.00e-02,3.00e-04,5914624,660.0,5.1499,0
370,5.6192,n/a,275.66,2.00e-02,3.00e-04,6078464,677.5,5.1499,0
380,5.4366,n/a,229.67,2.00e-02,3.00e-04,6242304,695.0,5.1499,0
390,5.1901,n/a,179.49,2.00e-02,3.00e-04,6406144,712.5,5.1499,0
400,5.4245,4.9383,226.90,2.00e-02,3.00e-04,6569984,735.1,4.9383,0
410,4.9821,n/a,145.78,2.00e-02,3.00e-04,6733824,753.2,4.9383,0
420,5.4864,n/a,241.39,2.00e-02,3.00e-04,6897664,770.8,4.9383,0
430,5.3762,n/a,216.20,2.00e-02,3.00e-04,7061504,788.3,4.9383,0
440,5.0811,n/a,160.95,2.00e-02,3.00e-04,7225344,805.9,4.9383,0
450,5.1690,n/a,175.74,2.00e-02,3.00e-04,7389184,823.4,4.9383,0
460,5.4923,n/a,242.82,2.00e-02,3.00e-04,7553024,840.9,4.9383,0
470,4.9297,n/a,138.34,2.00e-02,3.00e-04,7716864,858.5,4.9383,0
480,5.1875,n/a,179.02,2.00e-02,3.00e-04,7880704,876.0,4.9383,0
490,5.2674,n/a,193.92,2.00e-02,3.00e-04,8044544,893.6,4.9383,0
500,5.2736,4.7080,195.11,2.00e-02,3.00e-04,8208384,916.1,4.7080,0
510,5.1240,n/a,168.01,2.00e-02,3.00e-04,8372224,934.2,4.7080,0
520,4.7725,n/a,118.22,2.00e-02,3.00e-04,8536064,951.8,4.7080,0
530,5.0745,n/a,159.89,2.00e-02,3.00e-04,8699904,969.3,4.7080,0
540,4.8528,n/a,128.10,2.00e-02,3.00e-04,8863744,986.8,4.7080,0
550,5.3104,n/a,202.43,2.00e-02,3.00e-04,9027584,1004.4,4.7080,0
560,5.3275,n/a,205.92,2.00e-02,3.00e-04,9191424,1021.9,4.7080,0
570,5.0931,n/a,162.89,2.00e-02,3.00e-04,9355264,1039.4,4.7080,0
580,5.0258,n/a,152.29,2.00e-02,3.00e-04,9519104,1057.0,4.7080,0
590,5.0440,n/a,155.09,2.00e-02,3.00e-04,9682944,1074.5,4.7080,0
600,4.9044,4.5604,134.88,2.00e-02,3.00e-04,9846784,1097.0,4.5604,0
610,4.9875,n/a,146.58,2.00e-02,3.00e-04,10010624,1115.2,4.5604,0
620,4.7419,n/a,114.65,2.00e-02,3.00e-04,10174464,1132.8,4.5604,0
630,5.0542,n/a,156.68,2.00e-02,3.00e-04,10338304,1150.3,4.5604,0
640,5.3607,n/a,212.87,2.00e-02,3.00e-04,10502144,1167.9,4.5604,0
650,4.7882,n/a,120.08,2.00e-02,3.00e-04,10665984,1185.4,4.5604,0
660,4.8083,n/a,122.52,2.00e-02,3.00e-04,10829824,1202.9,4.5604,0
670,4.8157,n/a,123.43,2.00e-02,3.00e-04,10993664,1220.2,4.5604,0
680,5.0287,n/a,152.73,2.00e-02,3.00e-04,11157504,1237.6,4.5604,0
690,4.5889,n/a,98.38,2.00e-02,3.00e-04,11321344,1255.0,4.5604,0
700,4.6696,4.4578,106.66,2.00e-02,3.00e-04,11485184,1277.4,4.4578,0
710,4.6489,n/a,104.47,2.00e-02,3.00e-04,11649024,1295.4,4.4578,0
720,4.7285,n/a,113.13,2.00e-02,3.00e-04,11812864,1312.8,4.4578,0
730,4.9120,n/a,135.91,2.00e-02,3.00e-04,11976704,1330.1,4.4578,0
740,4.9694,n/a,143.94,2.00e-02,3.00e-04,12140544,1347.5,4.4578,0
750,4.5948,n/a,98.97,2.00e-02,3.00e-04,12304384,1364.9,4.4578,0
760,4.9680,n/a,143.74,2.00e-02,3.00e-04,12468224,1382.3,4.4578,0
770,4.5803,n/a,97.55,2.00e-02,3.00e-04,12632064,1399.7,4.4578,0
780,4.5560,n/a,95.20,2.00e-02,3.00e-04,12795904,1417.1,4.4578,0
790,4.4752,n/a,87.81,2.00e-02,3.00e-04,12959744,1434.5,4.4578,0
800,4.4744,4.3682,87.74,2.00e-02,3.00e-04,13123584,1456.8,4.3682,0
810,4.4106,n/a,82.32,2.00e-02,3.00e-04,13287424,1474.8,4.3682,0
820,4.9097,n/a,135.60,2.00e-02,3.00e-04,13451264,1492.2,4.3682,0
830,4.2041,n/a,66.96,2.00e-02,3.00e-04,13615104,1509.6,4.3682,0
840,4.6230,n/a,101.80,2.00e-02,3.00e-04,13778944,1527.0,4.3682,0
850,4.6129,n/a,100.77,2.00e-02,3.00e-04,13942784,1544.3,4.3682,0
860,4.2424,n/a,69.58,2.00e-02,3.00e-04,14106624,1561.7,4.3682,0
870,4.8704,n/a,130.37,2.00e-02,3.00e-04,14270464,1579.1,4.3682,0
880,4.5326,n/a,93.00,2.00e-02,3.00e-04,14434304,1596.5,4.3682,0
890,4.7641,n/a,117.23,2.00e-02,3.00e-04,14598144,1613.9,4.3682,0
900,4.5757,4.3383,97.09,2.00e-02,3.00e-04,14761984,1636.2,4.3383,0
910,4.1435,n/a,63.02,2.00e-02,3.00e-04,14925824,1654.2,4.3383,0
920,4.5460,n/a,94.26,2.00e-02,3.00e-04,15089664,1671.6,4.3383,0
930,4.7270,n/a,112.96,2.00e-02,3.00e-04,15253504,1688.9,4.3383,0
940,4.4674,n/a,87.13,2.00e-02,3.00e-04,15417344,1706.3,4.3383,0
950,4.7745,n/a,118.45,2.00e-02,3.00e-04,15581184,1723.7,4.3383,0
960,4.2032,n/a,66.90,2.00e-02,3.00e-04,15745024,1741.1,4.3383,0
970,3.9231,n/a,50.56,2.00e-02,3.00e-04,15908864,1758.5,4.3383,0
980,4.5726,n/a,96.79,2.00e-02,3.00e-04,16072704,1775.8,4.3383,0
990,4.4644,n/a,86.87,2.00e-02,3.00e-04,16236544,1793.2,4.3383,0
1000,4.6045,4.2694,99.93,2.00e-02,3.00e-04,16400384,1815.6,4.2694,0
1010,4.6523,n/a,104.83,2.00e-02,3.00e-04,16564224,1833.5,4.2694,0
1020,4.8266,n/a,124.79,2.00e-02,3.00e-04,16728064,1850.9,4.2694,0
1030,4.5320,n/a,92.94,2.00e-02,3.00e-04,16891904,1868.3,4.2694,0
1040,4.5525,n/a,94.86,2.00e-02,3.00e-04,17055744,1885.6,4.2694,0
1050,4.4706,n/a,87.41,2.00e-02,3.00e-04,17219584,1903.0,4.2694,0
1060,4.3546,n/a,77.83,2.00e-02,3.00e-04,17383424,1920.4,4.2694,0
1070,4.5866,n/a,98.16,2.00e-02,3.00e-04,17547264,1937.7,4.2694,0
1080,4.3276,n/a,75.77,2.00e-02,3.00e-04,17711104,1955.1,4.2694,0
1090,4.2625,n/a,70.99,2.00e-02,3.00e-04,17874944,1972.5,4.2694,0
1100,4.2718,4.1117,71.65,2.00e-02,3.00e-04,18038784,1994.8,4.1117,0
1110,4.3381,n/a,76.56,2.00e-02,3.00e-04,18202624,2012.7,4.1117,0
1120,4.4892,n/a,89.05,2.00e-02,3.00e-04,18366464,2030.0,4.1117,0
1130,4.2151,n/a,67.70,2.00e-02,3.00e-04,18530304,2047.4,4.1117,0
1140,4.7444,n/a,114.94,2.00e-02,3.00e-04,18694144,2064.8,4.1117,0
1150,4.6499,n/a,104.58,2.00e-02,3.00e-04,18857984,2082.1,4.1117,0
1160,4.3879,n/a,80.47,2.00e-02,3.00e-04,19021824,2099.5,4.1117,0
1170,4.2291,n/a,68.66,2.00e-02,3.00e-04,19185664,2116.9,4.1117,0
1180,4.2387,n/a,69.32,2.00e-02,3.00e-04,19349504,2134.3,4.1117,0
1190,4.3807,n/a,79.90,2.00e-02,3.00e-04,19513344,2151.7,4.1117,0
1200,4.1863,4.0703,65.78,2.00e-02,3.00e-04,19677184,2174.0,4.0703,0
1210,4.4988,n/a,89.91,2.00e-02,3.00e-04,19841024,2192.0,4.0703,0
1220,4.6261,n/a,102.12,2.00e-02,3.00e-04,20004864,2209.4,4.0703,0
1230,4.4287,n/a,83.82,2.00e-02,3.00e-04,20168704,2226.7,4.0703,0
1240,4.3583,n/a,78.13,2.00e-02,3.00e-04,20332544,2244.2,4.0703,0
1250,4.4365,n/a,84.48,2.00e-02,3.00e-04,20496384,2262.0,4.0703,0
1260,4.1335,n/a,62.39,2.00e-02,3.00e-04,20660224,2279.5,4.0703,0
1270,4.3375,n/a,76.52,2.00e-02,3.00e-04,20824064,2297.0,4.0703,0
1280,3.8262,n/a,45.89,2.00e-02,3.00e-04,20987904,2314.6,4.0703,0
1290,4.4252,n/a,83.53,2.00e-02,3.00e-04,21151744,2332.3,4.0703,0
1300,4.1862,3.9102,65.77,2.00e-02,3.00e-04,21315584,2355.2,3.9102,0
1310,4.2501,n/a,70.11,2.00e-02,3.00e-04,21479424,2374.1,3.9102,0
1320,3.9991,n/a,54.55,2.00e-02,3.00e-04,21643264,2392.4,3.9102,0
1330,4.4816,n/a,88.37,2.00e-02,3.00e-04,21807104,2410.9,3.9102,0
1340,4.0487,n/a,57.32,2.00e-02,3.00e-04,21970944,2429.4,3.9102,0
1350,4.1020,n/a,60.46,2.00e-02,3.00e-04,22134784,2447.1,3.9102,0
1360,4.1674,n/a,64.55,2.00e-02,3.00e-04,22298624,2464.7,3.9102,0
1370,4.4131,n/a,82.52,2.00e-02,3.00e-04,22462464,2482.3,3.9102,0
1380,4.3391,n/a,76.64,2.00e-02,3.00e-04,22626304,2499.9,3.9102,0
1390,3.9245,n/a,50.63,2.00e-02,3.00e-04,22790144,2517.5,3.9102,0
1400,3.8743,3.7807,48.15,2.00e-02,3.00e-04,22953984,2540.1,3.7807,0
1410,4.2930,n/a,73.19,2.00e-02,3.00e-04,23117824,2558.1,3.7807,0
1420,4.3215,n/a,75.30,2.00e-02,3.00e-04,23281664,2575.7,3.7807,0
1430,4.4051,n/a,81.87,2.00e-02,3.00e-04,23445504,2593.2,3.7807,0
1440,3.9252,n/a,50.66,2.00e-02,3.00e-04,23609344,2610.8,3.7807,0
1450,3.6967,n/a,40.31,2.00e-02,3.00e-04,23773184,2628.4,3.7807,0
1460,3.8145,n/a,45.36,2.00e-02,3.00e-04,23937024,2645.9,3.7807,0
1470,4.0704,n/a,58.58,2.00e-02,3.00e-04,24100864,2663.5,3.7807,0
1480,3.8663,n/a,47.77,2.00e-02,3.00e-04,24264704,2681.0,3.7807,0
1490,4.1030,n/a,60.52,2.00e-02,3.00e-04,24428544,2698.6,3.7807,0
1500,4.2054,3.6595,67.04,2.00e-02,3.00e-04,24592384,2721.1,3.6595,0
