step,train_loss,val_loss,ppl,lr_muon,lr_adam,tokens_seen,elapsed_s,best_val_loss,patience_counter
0,10.5937,n/a,39884.64,2.00e-04,3.00e-06,131072,85.9,n/a,0
10,8.9524,n/a,7726.72,2.20e-03,3.30e-05,1441792,377.2,n/a,0
20,8.2586,n/a,3860.87,4.20e-03,6.30e-05,2752512,670.1,n/a,0
30,7.5666,n/a,1932.62,6.20e-03,9.30e-05,4063232,963.1,n/a,0
40,6.8194,n/a,915.45,8.20e-03,1.23e-04,5373952,1256.5,n/a,0
50,6.3205,n/a,555.84,1.02e-02,1.53e-04,6684672,1549.9,n/a,0
60,6.1620,n/a,474.36,1.22e-02,1.83e-04,7995392,1843.3,n/a,0
70,5.8534,n/a,348.41,1.42e-02,2.13e-04,9306112,2137.1,n/a,0
80,5.7858,n/a,325.63,1.62e-02,2.43e-04,10616832,2430.9,n/a,0
90,5.6105,n/a,273.28,1.82e-02,2.73e-04,11927552,2724.9,n/a,0
100,5.5980,5.0592,269.88,2.00e-02,3.00e-04,13238272,3054.9,5.0592,0
110,5.4592,n/a,234.90,2.00e-02,3.00e-04,14548992,3346.1,5.0592,0
120,5.4427,n/a,231.06,2.00e-02,3.00e-04,15859712,3635.0,5.0592,0
130,5.2540,n/a,191.32,2.00e-02,3.00e-04,17170432,3924.2,5.0592,0
140,5.2921,n/a,198.76,2.00e-02,3.00e-04,18481152,4213.4,5.0592,0
150,5.2051,n/a,182.20,2.00e-02,3.00e-04,19791872,4503.1,5.0592,0
160,5.2103,n/a,183.16,2.00e-02,3.00e-04,21102592,4792.3,5.0592,0
170,5.0452,n/a,155.28,2.00e-02,3.00e-04,22413312,5081.9,5.0592,0
180,5.0189,n/a,151.25,2.00e-02,3.00e-04,23724032,5371.1,5.0592,0
190,4.9260,n/a,137.82,2.00e-02,3.00e-04,25034752,5660.6,5.0592,0
200,4.8440,4.3814,126.97,2.00e-02,3.00e-04,26345472,5961.5,4.3814,0
210,4.6832,n/a,108.12,2.00e-02,3.00e-04,27656192,6252.6,4.3814,0
220,4.6730,n/a,107.02,2.00e-02,3.00e-04,28966912,6542.4,4.3814,0
230,4.5796,n/a,97.47,2.00e-02,3.00e-04,30277632,6831.8,4.3814,0
240,4.7543,n/a,116.09,2.00e-02,3.00e-04,31588352,7121.4,4.3814,0
250,4.6984,n/a,109.77,2.00e-02,3.00e-04,32899072,7410.8,4.3814,0
260,4.4831,n/a,88.51,2.00e-02,3.00e-04,34209792,7700.3,4.3814,0
270,4.4864,n/a,88.80,2.00e-02,3.00e-04,35520512,7989.6,4.3814,0
280,4.4358,n/a,84.42,2.00e-02,3.00e-04,36831232,8279.2,4.3814,0
290,4.2575,n/a,70.64,2.00e-02,3.00e-04,38141952,8568.5,4.3814,0
300,4.2879,3.9981,72.81,2.00e-02,3.00e-04,39452672,8869.8,3.9981,0
310,4.1847,n/a,65.67,2.00e-02,3.00e-04,40763392,9164.9,3.9981,0
320,4.2679,n/a,71.37,2.00e-02,3.00e-04,42074112,9459.4,3.9981,0
330,4.2585,n/a,70.70,2.00e-02,3.00e-04,43384832,9753.9,3.9981,0
340,4.1723,n/a,64.87,2.00e-02,3.00e-04,44695552,10048.5,3.9981,0
350,3.9373,n/a,51.28,2.00e-02,3.00e-04,46006272,10343.0,3.9981,0
360,4.0077,n/a,55.02,2.00e-02,3.00e-04,47316992,10637.4,3.9981,0
370,4.0157,n/a,55.46,2.00e-02,3.00e-04,48627712,10932.0,3.9981,0
380,4.0467,n/a,57.21,2.00e-02,3.00e-04,49938432,11226.6,3.9981,0
390,4.0072,n/a,54.99,2.00e-02,3.00e-04,51249152,11521.0,3.9981,0
400,4.0487,3.6730,57.33,2.00e-02,3.00e-04,52559872,11827.2,3.6730,0
410,3.7623,n/a,43.05,2.00e-02,3.00e-04,53870592,12118.9,3.6730,0
420,4.0115,n/a,55.23,2.00e-02,3.00e-04,55181312,12408.1,3.6730,0
430,3.9184,n/a,50.32,2.00e-02,3.00e-04,56492032,12697.5,3.6730,0
440,3.7577,n/a,42.85,2.00e-02,3.00e-04,57802752,12986.6,3.6730,0
450,3.7186,n/a,41.21,2.00e-02,3.00e-04,59113472,13276.0,3.6730,0
460,3.6567,n/a,38.73,2.00e-02,3.00e-04,60424192,13565.1,3.6730,0
470,3.7520,n/a,42.61,2.00e-02,3.00e-04,61734912,13854.5,3.6730,0
480,3.5384,n/a,34.41,2.00e-02,3.00e-04,63045632,14143.5,3.6730,0
490,3.7014,n/a,40.50,2.00e-02,3.00e-04,64356352,14433.1,3.6730,0
500,3.5469,3.1965,34.71,2.00e-02,3.00e-04,65667072,14733.9,3.1965,0
510,3.4938,n/a,32.91,2.00e-02,3.00e-04,66977792,15024.7,3.1965,0
520,3.6671,n/a,39.14,2.00e-02,3.00e-04,68288512,15313.9,3.1965,0
530,3.4692,n/a,32.11,2.00e-02,3.00e-04,69599232,15603.0,3.1965,0
